"userAlias";"suggestedAlias";"keep";"description";"applyFun"
"dive_numb";"Dive.id";"Dive.id";TRUE;"Dive number";"as.integer"
"start_ptime";"Time";"Time";TRUE;"Time when dive started (matlab numeric format)";"datenum2posx"
"start_index";"Start.idx";"Start.idx";TRUE;"Line number of dive start in TDR dataset";"as.integer"
"dive_duration";"Dive.dur";"Dive.dur";TRUE;"Dive duration (s)";"as.double"
"max_depth";"Depth.max";"Depth.max";TRUE;"Maximum depth reached in dive (m)";"as.double"
"time_spent_surface_after";"Surff.dur";"Surff.dur";FALSE;"Duration of the surface period just following the dive (s)";"as.double"
"desc_duration";"Desc.dur";"Desc.dur";FALSE;"Duration of the descent step of the dive (s)";"as.double"
"bottom_duration";"Bottom.dur";"Bottom.dur";FALSE;"Duration of the bottom step of the dive (s)";"as.double"
"asc_duration";"Asc.dur";"Asc.dur";FALSE;"Duration of the ascent step of the dive (s)";"as.double"
"bottom_dur_res";"BT.res";"BT.res";FALSE;"Residual of the linear model Bottom time vs. Depth + Dive duration (ref. Bailleul PhD)";"as.double"
"desc_speed";"Desc.spd";"Desc.spd";FALSE;"Vertical speed during descent (m/s)";"as.double"
"asc_speed";"Asc.spd";"Asc.spd";FALSE;"Vertical speed during ascent (m/s)";"as.double"
"sinuosity";"Sinuosity";"Sinuosity";TRUE;"Sinuosity of vertical trajectory at bottom (deviation from straight lines between start/end of bottom and depth max)";"as.double"
"dive_class";"Dive.type";"Dive.type";FALSE;"Result of dive classification (ref. Dragon PhD). 1 = Drift dives. Avoid using other categories.";"as.integer"
"rem";"Note";"Note";FALSE;"Note about the dive";"as.character"
"no_capture";"Catch.numb";"Catch.numb";TRUE;"Prey catch attempt number (0 = not catch). One or several records with even number = 1 catch.";"as.double"
"no_bottom_capture";"BCatch.numb";"BCatch.numb";FALSE;"Prey catch attempt number relatively to the bottom of this dive.";"as.integer"
"temp_200m";"T200m";"T200m";FALSE;"Temperature at 200 m (C deg.)";"as.double"
"light_150";"Light150m";"Light150m";FALSE;"Light intensity at 150 m (ref Thomas Jaud et al, 2012, Plos One)  (units?)";"as.double"
"lum_surface";"IR0";"IR0";FALSE;"Light intensity at surface (ref Thomas Jaud et al, 2012, Plos One)  (units?)";"as.double"
"lat";"Lat";"Lat";TRUE;"Latitude (deg.)";"as.double"
"lon";"Lon";"Lon";TRUE;"Longitude (deg.)";"as.double"
"angle";"Angle";"Angle";FALSE;"Angle (which one ???)  (units ?)";"as.double"
"jour/nuit";"is.Day";"is.Day";FALSE;"Is The dive occurring during daytrime (unknown threshold on sun elevation)";"as.logical"
"diff_midi_solaire";"Diff.Zenit";"Diff.Zenit";FALSE;"???  (units ?)";"as.double"
"latitude";"Lat";"Lat";TRUE;"Latitude (deg.)";"as.double"
"longitude";"Lon";"Lon";TRUE;"Longitude (deg.)";"as.double"
"angle_Descent";"Angle.desc";"Angle.desc";FALSE;"Angle in the descent step  (units ?)";"as.double"
"angle_Ascent";"Angle.asc";"Angle.asc";FALSE;"Angle in the ascent step (units ?)";"as.double"
"lum150m";"IR150";"IR150";FALSE;"Light intensity at 150 m (ref Thomas Jaud et al, 2012, Plos One)";"as.double"
"temp200m";"T200m";"T200m";FALSE;"Temperature at 200 m (C deg.)";"as.double"
