"userAlias";"suggestedAlias";"keep";"description";"applyFun"
"DateTime";"Time";"Time";TRUE;"Date and time (matlab numeric format)";"datenum2posx"
"Distance";"Distance";"Distance";TRUE;"Distance travelled (3D) from the last record (m?) ?";"as.double"
"LatRad";"Lat.rad";"Lat.rad";FALSE;"Latitude (radian)";"as.double"
"LongRad";"Lon.rad";"Lon.rad";FALSE;"Longitude (radian)";"as.double"
"Latitude";"Lat";"Lat";TRUE;"Latitude (degree)";"as.double"
"Longitude";"Lon";"Lon";TRUE;"Longitude (degree)";"as.double"
"Depth";"Depth";"Depth";TRUE;"Depth (m)";"as.double"
"DRCalcSpd";"var1";"var1";FALSE;"???";"as.double"
"NewX";"var2";"var2";FALSE;"???";"as.double"
"NewY";"var3";"var3";FALSE;"???";"as.double"
"Bering";"var4";"var4";FALSE;"???";"as.double"
